Miami Heat	61.5	2013
LAC	56.5	2013
CHI	56.5	2013
SAS	55.5	2013
HOU	54.5	2013
IND	54.5	2013
BRK	52.5	2013
OKC	52.5	2013
GSW	51.5	2013
MEM	50.5	2013
NYK	48.5	2013
DEN	45.5	2013
DAL	43.5	2013
MIN	41.5	2013
CLE	40.5	2013
DET	40.5	2013
WAS	40.5	2013
NOP	39.5	2013
ATL	39.5	2013
POR	38.5	2013
LAL	36.5	2013
TOR	36.5	2013
SAC	31.5	2013
MIL	28.5	2013
BOS	27.5	2013
CHO	26.5	2013
UTA	25.5	2013
ORL	23.5	2013
PHO	19.5	2013
PHI	16.5	2013
CLE	58.5	2014
OKC	57.5	2014
SAS	56.5	2014
CHI	55.5	2014
LAC	55.5	2014
GSW	50.5	2014
DAL	49.5	2014
TOR	49.5	2014
HOU	49.5	2014
WAS	49.5	2014
MEM	48.5	2014
POR	48.5	2014
CHO	45.5	2014
MIA	43.5	2014
PHO	42.5	2014
BRK	41.5	2014
NOP	41.5	2014
ATL	40.5	2014
NYK	40.5	2014
DEN	40.5	2014
DET	36.5	2014
IND	32.5	2014
LAL	31.5	2014
SAC	30.5	2014
ORL	28.5	2014
BOS	26.5	2014
UTA	25.5	2014
MIN	25.5	2014
MIL	24.5	2014
PHI	15.5	2014
ATL	49.5	2015
BOS	42.5	2015
BRK	28.5	2015
CHO	32.5	2015
CHI	49.5	2015
CLE	56.5	2015
DAL	38.5	2015
DEN	26.5	2015
DET	33.5	2015
GSW	60.5	2015
HOU	54.5	2015
IND	42.5	2015
LAC	56.5	2015
LAL	29.5	2015
MEM	50.5	2015
MIA	45.5	2015
MIL	43.5	2015
MIN	25.5	2015
NOP	47.5	2015
NYK	31.5	2015
OKC	57.5	2015
ORL	32.5	2015
PHI	21.5	2015
PHO	36.5	2015
POR	26.5	2015
SAC	30.5	2015
SAS	58.5	2015
TOR	45.5	2015
UTA	40.5	2015
WAS	45.5	2015
GSW	66.5	2016
CLE	56.5	2016
SAS	56.5	2016
LAC	53.5	2016
BOS	51.5	2016
TOR	49.5	2016
UTA	47.5	2016
POR	46.5	2016
DET	45.5	2016
OKC	45.5	2016
ATL	43.5	2016
IND	43.5	2016
MEM	43.5	2016
WAS	42.5	2016
HOU	41.5	2016
MIN	41.5	2016
CHO	39.5	2016
DAL	39.5	2016
MIL	39.5	2016
CHI	38.5	2016
NYK	38.5	2016
MIA	36.5	2016
NOP	36.5	2016
ORL	36.5	2016
DEN	34.5	2016
SAC	32.5	2016
PHI	27.5	2016
PHO	26.5	2016
LAL	24.5	2016
BRK	20.5	2016
ATL	25.5	2017
BOS	54.5	2017
NRK	28	2017
CHO	42.5	2017
CHI	22	2017
CLE	54.5	2017
DAL	34.5	2017
DEN	45.5	2017
DET	38.5	2017
GSW	67.5	2017
HOU	55.5	2017
IND	31.5	2017
LAC	45	2017
LAL	32.5	2017
MEM	37.5	2017
MIA	44.5	2017
MIL	46.5	2017
MIN	48	2017
NOP	39.5	2017
NYK	29.5	2017
OKC	53.5	2017
ORL	32.5	2017
PHI	39	2017
PHO	29	2017
POR	43.5	2017
SAC	27.5	2017
SAS	54.5	2017
TOR	48	2017
UTA	41.5	2017
WAS	49	2017
GSW	62.5	2018
BOS	59.0	2018
HOU	56.5	2018
TOR	55.5	2018
PHI	53.5	2018
UTA	49.5	2018
LAL	48.5	2018
OKC	48.5	2018
MIL	48.0	2018
IND	47.5	2018
DEN	47.5	2018
NOP	45.5	2018
WAS	45.5	2018
SAS	43.5	2018
MIA	43.0	2018
POR	42.0	2018
